title,director,writer,starring,release date,runtime,format,type,collection_id,order,thumb,image
Antitrust,Peter Howitt,Howard Franklin,Ryan Philippe / Tim Robbins / Rachael Leigh Cook,2001-01-12,108 min,DVD,item,adam_movies,1,https://dynamodblabs.s3.amazonaws.com/collectors/images/adam/movies/thumbs/antitrustDVD.jpg,https://dynamodblabs.s3.amazonaws.com/collectors/images/adam/movies/antitrustDVD.jpg
Army of Darkness,Sam Raimi,Sam Raimi / Ivan Raimi,Bruce Campbell / Embeth Davidtz / Marcus Gilbert,1993-02-19,81 min,DVD,item,adam_movies,2,https://dynamodblabs.s3.amazonaws.com/collectors/images/adam/movies/thumbs/armyofdarknessDVD.jpg,https://dynamodblabs.s3.amazonaws.com/collectors/images/adam/movies/armyofdarknessDVD.jpg
Big Lebowski,Joel Coen / Ethan Coen,Ethan Coen / Joel Coen,Jeff Bridges / John Goodman / Julianne Moore,1998-03-06,117 min,DVD,item,adam_movies,3,https://dynamodblabs.s3.amazonaws.com/collectors/images/adam/movies/thumbs/thebiglebowskiDVD.jpg,https://dynamodblabs.s3.amazonaws.com/collectors/images/adam/movies/thebiglebowskiDVD.jpg
Ghostbusters,Ivan Reitman,Dan Akroyd / Harold Ramis,Bill Murray / Dan Akroyd / SIgourney Weaver,1984-06-08,105 min,DVD,item,adam_movies,4,https://dynamodblabs.s3.amazonaws.com/collectors/images/adam/movies/thumbs/ghostbustersDVD.jpg,https://dynamodblabs.s3.amazonaws.com/collectors/images/adam/movies/ghostbustersDVD.jpg
Groundhog Day,Harold Ramis,Danny Rubin / Harold Ramis,Bill Murray / Andie MacDowell / Chris Elliott,1993-02-12,101 min,DVD,item,adam_movies,5,https://dynamodblabs.s3.amazonaws.com/collectors/images/adam/movies/thumbs/groundhogdayDVD.jpg,https://dynamodblabs.s3.amazonaws.com/collectors/images/adam/movies/groundhogdayDVD.jpg
Hackers,Iain Softley,Rafael Moreu,Jonny Lee Miller / Angelina Jolie / Jesse Bradford,1995-09-15,105 min,DVD,item,adam_movies,6,https://dynamodblabs.s3.amazonaws.com/collectors/images/adam/movies/thumbs/hackersDVD.jpg,https://dynamodblabs.s3.amazonaws.com/collectors/images/adam/movies/hackersDVD.jpg
History of the World Part 1,Mel Brooks,Mel Brooks,Mel Brooks / Gregory Hines / Dom DeLuise,1981-06-12,92 min,DVD,item,adam_movies,7,https://dynamodblabs.s3.amazonaws.com/collectors/images/adam/movies/thumbs/historyoftheworldDVD.jpg,https://dynamodblabs.s3.amazonaws.com/collectors/images/adam/movies/historyoftheworldDVD.jpg
Men in Black,Barry Sonnenfeld,Lowell Cunningham / Ed Solomon,Tommy Lee Jones / Will Smith / Linda Fiorentino,1997-07-02,98 min,DVD,item,adam_movies,8,https://dynamodblabs.s3.amazonaws.com/collectors/images/adam/movies/thumbs/mibDVD.jpg,https://dynamodblabs.s3.amazonaws.com/collectors/images/adam/movies/mibDVD.jpg
Old School,Todd Philips,Court Crandall / Todd Phillips,Luke Wilson / Vince Vaughn / Will Ferrell,2003-02-21,88 min,DVD,item,adam_movies,9,https://dynamodblabs.s3.amazonaws.com/collectors/images/adam/movies/thumbs/oldschoolDVD.jpg,https://dynamodblabs.s3.amazonaws.com/collectors/images/adam/movies/oldschoolDVD.jpg
Princess Bride,Ron Reiner,William Goldman,Cary Elwes / Mandy Patinkin / Robin Wright,1987-10-09,98 min,DVD,item,adam_movies,10,https://dynamodblabs.s3.amazonaws.com/collectors/images/adam/movies/thumbs/princessbrideDVD.jpg,https://dynamodblabs.s3.amazonaws.com/collectors/images/adam/movies/princessbrideDVD.jpg
Rocky,John G Avildsen,Sylvester Stallone,Sylvester Stallone / Talia Shire / Burt Young,1976-12-03,120 min,DVD,item,adam_movies,11,https://dynamodblabs.s3.amazonaws.com/collectors/images/adam/movies/thumbs/rockyDVD.jpg,https://dynamodblabs.s3.amazonaws.com/collectors/images/adam/movies/rockyDVD.jpg
Rush Hour,Brett Ratner,Ross LaManna / Jim Kouf,Jackie Chan / Chris Tucker / Ken Leung,1998-09-18,98 min,DVD,item,adam_movies,12,https://dynamodblabs.s3.amazonaws.com/collectors/images/adam/movies/thumbs/rushhourDVD.jpg,https://dynamodblabs.s3.amazonaws.com/collectors/images/adam/movies/rushhourDVD.jpg
Sharknado,Anthony C. Ferrante,Thunder Levin,Ian Ziering / Tara Reid / John Heard,2013-07-11,86 min,DVD,item,adam_movies,13,https://dynamodblabs.s3.amazonaws.com/collectors/images/adam/movies/thumbs/sharknadoDVD.jpg,https://dynamodblabs.s3.amazonaws.com/collectors/images/adam/movies/sharknadoDVD.jpg
Space Jam,Joe Pytka,Leo Benvenuti / Steve Rudnick,Michael Jordan / Wayne Knight / Theresa Randle,1996-11-15,88 min,DVD,item,adam_movies,14,https://dynamodblabs.s3.amazonaws.com/collectors/images/adam/movies/thumbs/spacejamDVD.jpg,https://dynamodblabs.s3.amazonaws.com/collectors/images/adam/movies/spacejamDVD.jpg
Spaceballs,Mel Brooks,Mel Brooks / Thomas Meehan,Mel Brooks / John Candy / Rick Morani,1987-06-24,96,DVD,item,adam_movies,15,https://dynamodblabs.s3.amazonaws.com/collectors/images/adam/movies/thumbs/spaceballsDVD.jpg,https://dynamodblabs.s3.amazonaws.com/collectors/images/adam/movies/spaceballsDVD.jpg
V for Vendetta,James McTeigue,The Wachowski Brothers,Hugo Weaving / Natalie Portman / Rupert Graves,2006-03-17,132 min,Blu-Ray,item,adam_movies,16,https://dynamodblabs.s3.amazonaws.com/collectors/images/adam/movies/thumbs/vforvendettaDVD.jpg,https://dynamodblabs.s3.amazonaws.com/collectors/images/adam/movies/vforvendettaDVD.jpg
Zombieland,Ruben Fleischer,Rhett Reese / Paul Wernick,Jesse Eisenberg / Emma Stone / Woody Harrelson,2009-10-02,88 min,DVD,item,adam_movies,17,https://dynamodblabs.s3.amazonaws.com/collectors/images/adam/movies/thumbs/zombielandDVD.jpg,https://dynamodblabs.s3.amazonaws.com/collectors/images/adam/movies/zombielandDVD.jpg
