author,format,isbn,languages,pubdate,publisher,rating,tags,title,type,collection_id,order,thumb,image
Himanshu Sharma,pdf,9781789952308,eng,2019-03-29T00:00:00-04:00,Packt Publishing,,IT / Linux / Security,Kali Linux - an Ethical Hacker's Cookbook - Second Edition,item,corey_books,1,https://dynamodblabs.s3.amazonaws.com/collectors/images/corey/books/thumbs/kalilinux.jpg,https://dynamodblabs.s3.amazonaws.com/collectors/images/corey/books/kalilinux.jpg
Mitch Tulloch,pdf,9780735682894,eng,2013-11-15T00:00:00-05:00,Microsoft Press,4,Computers / Operating Systems / Virtualization / Client-Server Computing,Windows Server Introducing Windows Azure for IT Professionals,item,corey_books,2,https://dynamodblabs.s3.amazonaws.com/collectors/images/corey/books/thumbs/introducingwindows.jpg,https://dynamodblabs.s3.amazonaws.com/collectors/images/corey/books/introducingwindows.jpg
Michael Collier & Robin Shahan,epub,9781509300907,eng,2015-01-15T00:00:00-05:00,Microsoft Press,5,Azure / Cloud,Fundamentals of Azure - Microsoft Azure Essentials,item,corey_books,3,https://dynamodblabs.s3.amazonaws.com/collectors/images/corey/books/thumbs/azureessentials.jpg,https://dynamodblabs.s3.amazonaws.com/collectors/images/corey/books/azureessentials.jpg
Michael McKeown,epub,9780735698161,eng,2015-04-10T00:00:00-04:00,Microsoft Press,,Computers / Operating Systems / Windows Server / Azure,Microsoft Azure Essentials - Azure Automation,item,corey_books,4,https://dynamodblabs.s3.amazonaws.com/collectors/images/corey/books/thumbs/azureautomation.jpg,https://dynamodblabs.s3.amazonaws.com/collectors/images/corey/books/azureautomation.jpg
Jeff Barnes,epub,9780735698185,eng,2015-04-25T00:00:00-04:00,Microsoft Press,,Computers / Operating Systems / Windows Server,Microsoft Azure Essentials - Azure Machine Learning,item,corey_books,5,https://dynamodblabs.s3.amazonaws.com/collectors/images/corey/books/thumbs/azuremachinelearning.jpg,https://dynamodblabs.s3.amazonaws.com/collectors/images/corey/books/azuremachinelearning.jpg
Mark Lutz,pdf,9781449355739,eng,2013-07-09T00:00:00-04:00,O'Reilly Media,4,IT / Programming / Python / DevOps,Learning Python 5th Edition,item,corey_books,6,https://dynamodblabs.s3.amazonaws.com/collectors/images/corey/books/thumbs/learningpython.jpg,https://dynamodblabs.s3.amazonaws.com/collectors/images/corey/books/learningpython.jpg
Eldad Eilam,pdf,9788126506040,eng,2005-05-15T00:00:00-04:00,Wiley,4,Team DDU,Reversing: Secrets of Reverse Engineering,item,corey_books,7,https://dynamodblabs.s3.amazonaws.com/collectors/images/corey/books/thumbs/reversing.jpg,https://dynamodblabs.s3.amazonaws.com/collectors/images/corey/books/reversing.jpg
Kevin D. Mitnick & William L. Simon,pdf,9780764538391,eng,2007-08-20T00:00:00-04:00,Wiley,4,Computers / Security / General / Networking,The Art of Deception: Controlling the Human Element of Security,item,corey_books,8,https://dynamodblabs.s3.amazonaws.com/collectors/images/corey/books/thumbs/artofdeception.jpg,https://dynamodblabs.s3.amazonaws.com/collectors/images/corey/books/artofdeception.jpg
Phil Carradice,epub,9781526728661,eng,2018-06-30T00:00:00-04:00,Grub Street Publishers,,Biography & Autobiography / Royalty / History / Europe / Great Britain / General,Bloody Mary: Tudor Terror 1553–1558,item,corey_books,9,https://dynamodblabs.s3.amazonaws.com/collectors/images/corey/books/thumbs/bloodymary.jpg,https://dynamodblabs.s3.amazonaws.com/collectors/images/corey/books/bloodymary.jpg
Benjamin Madley,pdf,,eng,2016-02-24T22:34:31-05:00,Yale University Press,,History / United States,An American Genocide,item,corey_books,10,https://dynamodblabs.s3.amazonaws.com/collectors/images/corey/books/thumbs/americangenocide.jpg,https://dynamodblabs.s3.amazonaws.com/collectors/images/corey/books/americangenocide.jpg
