name,year,serial_number,type,collection_id,order,thumb,image
DIY Kit Jazz 5-String Fretless,2018,00001,item,craig_guitars,1,https://dynamodblabs.s3.amazonaws.com/collectors/images/craig/guitars/thumbs/01.jpg,https://dynamodblabs.s3.amazonaws.com/collectors/images/craig/guitars/01.jpg
DIY Kit Jazz 4-String,2017,00002,item,craig_guitars,2,https://dynamodblabs.s3.amazonaws.com/collectors/images/craig/guitars/thumbs/02.jpg,https://dynamodblabs.s3.amazonaws.com/collectors/images/craig/guitars/02.jpg
DIY Kit Telecaster (Basswood),2018,00003,item,craig_guitars,3,https://dynamodblabs.s3.amazonaws.com/collectors/images/craig/guitars/thumbs/03.jpg,https://dynamodblabs.s3.amazonaws.com/collectors/images/craig/guitars/03.jpg
DIY Kit Telecaster (Mahogany),2018,00004,item,craig_guitars,4,https://dynamodblabs.s3.amazonaws.com/collectors/images/craig/guitars/thumbs/04.jpg,https://dynamodblabs.s3.amazonaws.com/collectors/images/craig/guitars/04.jpg
SX VTG Precision (3/4 size),2017,20700412,item,craig_guitars,5,https://dynamodblabs.s3.amazonaws.com/collectors/images/craig/guitars/thumbs/05.jpg,https://dynamodblabs.s3.amazonaws.com/collectors/images/craig/guitars/05.jpg
Pedulla MVP4,1996,6294,item,craig_guitars,6,https://dynamodblabs.s3.amazonaws.com/collectors/images/craig/guitars/thumbs/06.jpg,https://dynamodblabs.s3.amazonaws.com/collectors/images/craig/guitars/06.jpg
Fender Telecaster,1992,MN2106820,item,craig_guitars,7,https://dynamodblabs.s3.amazonaws.com/collectors/images/craig/guitars/thumbs/07.jpg,https://dynamodblabs.s3.amazonaws.com/collectors/images/craig/guitars/07.jpg
Oscar Schmidt 0E-30/BK,Unknown,SI03060225,item,craig_guitars,8,https://dynamodblabs.s3.amazonaws.com/collectors/images/craig/guitars/thumbs/08.jpg,https://dynamodblabs.s3.amazonaws.com/collectors/images/craig/guitars/08.jpg
Alvarez RD20C,1996,S99070466,item,craig_guitars,9,https://dynamodblabs.s3.amazonaws.com/collectors/images/craig/guitars/thumbs/09.jpg,https://dynamodblabs.s3.amazonaws.com/collectors/images/craig/guitars/09.jpg
Ibanez AF-75,2004,S04050745,item,craig_guitars,10,https://dynamodblabs.s3.amazonaws.com/collectors/images/craig/guitars/thumbs/10.jpg,https://dynamodblabs.s3.amazonaws.com/collectors/images/craig/guitars/10.jpg
Ibanez G10,2019,00010,item,craig_guitars,11,https://dynamodblabs.s3.amazonaws.com/collectors/images/craig/guitars/thumbs/11.jpg,https://dynamodblabs.s3.amazonaws.com/collectors/images/craig/guitars/11.jpg
DIY Kit Blue 5-String,2018,8675309,item,craig_guitars,12,https://dynamodblabs.s3.amazonaws.com/collectors/images/craig/guitars/thumbs/12.jpg,https://dynamodblabs.s3.amazonaws.com/collectors/images/craig/guitars/12.jpg
