series,title,pages,publisher,published date,isbn,author,pencil,type,collection_id,order,thumb,image
Akira,Akira Vol 1,352,Kodansha Comics,October 31 2009,1935429000,Katsuhiro Otomo,Katsuhiro Otomo,item,john_comics,1,https://dynamodblabs.s3.amazonaws.com/collectors/images/john/comics/thumbs/Akiravol1.jpg,https://dynamodblabs.s3.amazonaws.com/collectors/images/john/comics/Akiravol1.jpg
Akira,Akira Vol 2,304,Kodansha Comics,Jun 22 2010,1935429027,Katsuhiro Otomo,Katsuhiro Otomo,item,john_comics,2,https://dynamodblabs.s3.amazonaws.com/collectors/images/john/comics/thumbs/Akiravol2.jpg,https://dynamodblabs.s3.amazonaws.com/collectors/images/john/comics/Akiravol2.jpg
Akira,Akira Vol 3,296,Kodansha Comics,July 13 2010,1935429043,Katsuhiro Otomo,Katsuhiro Otomo,item,john_comics,3,https://dynamodblabs.s3.amazonaws.com/collectors/images/john/comics/thumbs/Akiravol3.jpg,https://dynamodblabs.s3.amazonaws.com/collectors/images/john/comics/Akiravol3.jpg
Akira,Akira Vol 4,392,Kodansha Comics,November 30 2010,193542906X,Katsuhiro Otomo,Katsuhiro Otomo,item,john_comics,4,https://dynamodblabs.s3.amazonaws.com/collectors/images/john/comics/thumbs/Akiravol4.jpg,https://dynamodblabs.s3.amazonaws.com/collectors/images/john/comics/Akiravol4.jpg
Akira,Akira Vol 5,416,Kodansha Comics,March 1 2011,1935429078,Katsuhiro Otomo,Katsuhiro Otomo,item,john_comics,5,https://dynamodblabs.s3.amazonaws.com/collectors/images/john/comics/thumbs/Akiravol5.jpg,https://dynamodblabs.s3.amazonaws.com/collectors/images/john/comics/Akiravol5.jpg
Vemon(2018),Rex (Vol 1),136,Marvel,December 4 2018, 1302913069,Donny Cates,Ryan Stegman,item,john_comics,6,https://dynamodblabs.s3.amazonaws.com/collectors/images/john/comics/thumbs/Venomvol1.jpg,https://dynamodblabs.s3.amazonaws.com/collectors/images/john/comics/Venomvol1.jpg
Immortal Hulk,Or Is He Both? (Vol 1),128,Marvel,December 4 2018,1302912550,Al Ewing,Joe Bennet,item,john_comics,7,https://dynamodblabs.s3.amazonaws.com/collectors/images/john/comics/thumbs/Immortalhulkvol1.jpg,https://dynamodblabs.s3.amazonaws.com/collectors/images/john/comics/Immortalhulkvol1.jpg
Immortal Hulk,The Green Door (Vol 2),112,Marvel,February 26 2019,1302912569,Al Ewing,Joe Bennet,item,john_comics,8,https://dynamodblabs.s3.amazonaws.com/collectors/images/john/comics/thumbs/Immortalhulkvol2.jpg,https://dynamodblabs.s3.amazonaws.com/collectors/images/john/comics/Immortalhulkvol2.jpg
Immortal Hulk,Hulk In Hell (Vol 3),112,Marvel,May 28 2019,1302915061,Al Ewing,Joe Bennet,item,john_comics,9,https://dynamodblabs.s3.amazonaws.com/collectors/images/john/comics/thumbs/Immortalhulkvol3.jpg,https://dynamodblabs.s3.amazonaws.com/collectors/images/john/comics/Immortalhulkvol3.jpg
Immortal Hulk,Abomination (Vol 4),112,Marvel,September 17 2019,130291667X,Al Ewing,Joe Bennet,item,john_comics,10,https://dynamodblabs.s3.amazonaws.com/collectors/images/john/comics/thumbs/Immortalhulkvol4.jpg,https://dynamodblabs.s3.amazonaws.com/collectors/images/john/comics/Immortalhulkvol4.jpg
Immortal Hulk,Breaker of Worlds (Vol 5),136,Marvel,December 3 2019,1302916688,Al Ewing,Joe Bennet,item,john_comics,11,https://dynamodblabs.s3.amazonaws.com/collectors/images/john/comics/thumbs/Immortalhulkvol5.jpg,https://dynamodblabs.s3.amazonaws.com/collectors/images/john/comics/Immortalhulkvol5.jpg
