title,director,writer,starring,release date,runtime,format,type,collection_id,order,thumb,image
In The Mouth of Madness,John Carpenter,Michael De Luca,Sam Neill / Jürgen Prochnow / Julie Carmen,February 3 1995,95 min,Blu-ray,item,john_movies,1,https://dynamodblabs.s3.amazonaws.com/collectors/images/john/movies/thumbs/MouthofMadnessBR.jpg,https://dynamodblabs.s3.amazonaws.com/collectors/images/john/movies/MouthofMadnessBR.jpg
The Thing,John Carpenter,Bill Lancaster / John W. Campbell Jr.,Kurt Russel / Wiford Brimley / Keith David,June 25 1982,109 min,Blu-ray,item,john_movies,2,https://dynamodblabs.s3.amazonaws.com/collectors/images/john/movies/thumbs/TheThingBR.jpg,https://dynamodblabs.s3.amazonaws.com/collectors/images/john/movies/TheThingBR.jpg
Event Horizon,Paul W.S. Anderson,Phillip Eisner,Laurence Fishburne / Sam Neill / Kathleen Quinlan,August 15 1997,96 min,Blu-ray,item,john_movies,3,https://dynamodblabs.s3.amazonaws.com/collectors/images/john/movies/thumbs/EventHorizonBR.jpg,https://dynamodblabs.s3.amazonaws.com/collectors/images/john/movies/EventHorizonBR.jpg
Scanners,David Cronenberg,David Cronenberg,Jennifer O'Neill / Stephen Lack / Patrick McGoohan,January 14 1981,103 min,Blu-ray,item,john_movies,4,https://dynamodblabs.s3.amazonaws.com/collectors/images/john/movies/thumbs/ScannersBR.jpg,https://dynamodblabs.s3.amazonaws.com/collectors/images/john/movies/ScannersBR.jpg
Dark City,Alex Proyas,Alex Proyas,Rufus Sewell / Keifer Sutherland / Jennifer Connelly,February 27 1998,100 min,Blu-ray,item,john_movies,5,https://dynamodblabs.s3.amazonaws.com/collectors/images/john/movies/thumbs/DarkCityBR.jpg,https://dynamodblabs.s3.amazonaws.com/collectors/images/john/movies/DarkCityBR.jpg
Bubba Ho-Tep,Don Coscarelli,Joe R. Landsdale / Don Coscarelli.,Bruce Campbell / Ossie Davis / Bob Ivy,October 10 2003,92 min,DVD,item,john_movies,6,https://dynamodblabs.s3.amazonaws.com/collectors/images/john/movies/thumbs/BubbaHotepDVD.jpg,https://dynamodblabs.s3.amazonaws.com/collectors/images/john/movies/BubbaHotepDVD.jpg
Akira,Katsuhiro Otomo,Katsuhiro Otomo,Mitsuo Iwata / Nozomu Sasaki / Mami Koyama,July 16 1988,124 min,Blu-ray,item,john_movies,7,https://dynamodblabs.s3.amazonaws.com/collectors/images/john/movies/thumbs/AkiraBR.jpg,https://dynamodblabs.s3.amazonaws.com/collectors/images/john/movies/AkiraBR.jpg
Time Bandits,Terry Gilliam,Michael Palin / Terry Gilliam,Sean Connery / Shelley Duvall / John Cleese,November 6 1981,116 min,DVD,item,john_movies,8,https://dynamodblabs.s3.amazonaws.com/collectors/images/john/movies/thumbs/TimeBanditsDVD.jpg,https://dynamodblabs.s3.amazonaws.com/collectors/images/john/movies/TimeBanditsDVD.jpg
Slither,James Gunn,James Gunn,Nathan Fillion / Elizabeth Banks / Michael Rooker,March 31 2006,95 min,DVD,item,john_movies,9,https://dynamodblabs.s3.amazonaws.com/collectors/images/john/movies/thumbs/SlitherDVD.jpg,https://dynamodblabs.s3.amazonaws.com/collectors/images/john/movies/SlitherDVD.jpg
Arrival,Denis Villeneuve,Eric Heisserer / Ted Chiang,Amy Adams / Jeremy Renner / Forest Whitaker,November 11 2016,116 min,Blu-ray,item,john_movies,10,https://dynamodblabs.s3.amazonaws.com/collectors/images/john/movies/thumbs/ArrivalBR.jpg,https://dynamodblabs.s3.amazonaws.com/collectors/images/john/movies/ArrivalBR.jpg
